%26/03/2021 11:55:09
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-1
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2690.732000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+2691.806000	-00.000000	+00.199900	+00.122000	+00.199900	+00.122000
+2687.997000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2682.577000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+2679.232000	-00.000000	+00.799900	+00.569600	+00.799900	+00.528900
+2674.349000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+2653.121000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2638.166000	-00.000000	+01.399800	+00.935800	+01.399800	+00.935800
+2628.278000	-00.000000	+01.599900	+01.139300	+01.599900	+01.098600
+2613.947000	-00.000000	+01.799900	+01.220700	+01.799900	+01.220700
+2607.379000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+2589.813000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2561.846000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+2547.954000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+2537.468000	-00.000000	+02.799900	+01.953100	+02.799900	+01.912400
+2503.323000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+2477.664000	-00.000000	+03.199900	+02.237900	+03.199900	+02.197200
+2442.848000	-00.000000	+03.399900	+02.360000	+03.399900	+02.319300
+2411.341000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+2378.344000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+2347.533000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+2313.901000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+2269.222000	-00.000000	+04.399900	+03.051700	+04.399900	+03.011000
+2230.256000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+2185.015000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+2139.042000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+2086.050000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+2032.594000	-00.000000	+05.399800	+03.702700	+05.399800	+03.702700
+1983.666000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1921.250000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1858.516000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1802.374000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
