+11.067323	+2312.204000
+09.895059	+2349.925000
+08.934952	+2374.438000
+08.023764	+2412.464000
+07.030820	+2446.290000
+06.103093	+2475.198000
+05.354529	+2497.903000
+04.654601	+2521.793000
+04.003513	+2540.019000
+03.401331	+2550.237000
+02.766662	+2573.016000
+02.270214	+2584.942000
+01.757650	+2597.003000
+01.309933	+2607.587000
+00.927643	+2614.826000
+00.650935	+2619.623000
+00.423067	+2627.534000
+00.219647	+2629.438000
+00.081340	+2626.606000
+00.016252	+2623.017000
