%26/03/2021 12:27:08
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+364.501000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+365.441000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+365.868000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+368.151000	-00.000000	+00.599800	+00.406900	+00.599800	+00.366200
+372.997000	-00.000000	+00.799900	+00.569600	+00.799900	+00.569600
+376.183000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+383.410000	-00.000000	+01.199900	+00.854400	+01.199900	+00.813800
+387.573000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+394.348000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+400.476000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+411.475000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+423.365000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+433.106000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+447.401000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+460.060000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+475.027000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+490.176000	-00.000000	+03.199900	+02.237900	+03.199900	+02.197200
+506.668000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+526.237000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+545.476000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+566.155000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+585.894000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+606.879000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+630.329000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+654.927000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+680.538000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+705.991000	-00.000000	+05.199900	+03.540000	+05.199900	+03.580700
+734.519000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+764.208000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+793.420000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+821.509000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+851.588000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+882.339000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+914.859000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+947.075000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+981.304000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+1016.364000	-00.000000	+07.200000	+04.882800	+07.200000	+04.882800
+1050.008000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+1089.071000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1126.548000	-00.000000	+07.799800	+05.208300	+07.799800	+05.208300
+1156.407000	-00.000000	+08.000000	+05.330400	+08.000000	+05.371000
+1189.685000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1143.712000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1247.291000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+1278.298000	-00.000000	+08.800000	+05.818600	+08.800000	+05.859300
+1302.652000	-00.000000	+08.999900	+05.940700	+08.999900	+05.981400
+1327.519000	-00.000000	+09.199900	+06.103500	+09.199900	+06.062800
+1359.600000	-00.000000	+09.399800	+06.184800	+09.399800	+06.184800
+1382.159000	-00.000000	+09.600000	+06.306900	+09.600000	+06.306900
+1411.603000	-00.000000	+09.799900	+06.429000	+09.799900	+06.429000
+1441.072000	-00.000000	+09.999900	+06.591700	+09.999900	+06.551100
+1460.176000	-00.000000	+10.199800	+06.673100	+10.199800	+06.713800
+1493.503000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+1506.845000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+1521.006000	-00.000000	+10.799900	+06.998600	+10.799900	+06.998600
+1543.760000	-00.000000	+10.999800	+07.080000	+10.999800	+07.080000
+1554.027000	-00.000000	+11.199900	+07.242800	+11.199900	+07.202100
+1558.568000	-00.000000	+11.399900	+07.324200	+11.399900	+07.324200
+1566.381000	-00.000000	+11.599900	+07.446200	+11.599900	+07.405500
+1565.990000	-00.000000	+11.799800	+07.527600	+11.799800	+07.527600
+1559.948000	-00.000000	+12.000000	+07.649700	+12.000000	+07.649700
+1551.500000	-00.000000	+11.799800	+07.527600	+11.799800	+07.527600
+1540.269000	-00.000000	+11.599900	+07.446200	+11.599900	+07.405500
+1541.136000	-00.000000	+11.399900	+07.324200	+11.399900	+07.324200
+1536.473000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+1531.504000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+1527.854000	-00.000000	+10.799900	+06.958000	+10.799900	+06.958000
+1528.050000	-00.000000	+10.599900	+06.917300	+10.599900	+06.876600
+1515.354000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+1506.723000	-00.000000	+10.199800	+06.673100	+10.199800	+06.673100
+1494.003000	-00.000000	+09.999900	+06.551100	+09.999900	+06.591700
+1478.805000	-00.000000	+09.799900	+06.429000	+09.799900	+06.429000
+1463.497000	-00.000000	+09.600000	+06.306900	+09.600000	+06.347600
+1444.258000	-00.000000	+09.399800	+06.184800	+09.399800	+06.184800
+1418.134000	-00.000000	+09.199900	+06.062800	+09.199900	+06.103500
+1394.733000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+1362.798000	-00.000000	+08.800000	+05.818600	+08.800000	+05.818600
+1331.925000	-00.000000	+08.599800	+05.696600	+08.599800	+05.737300
+1289.029000	-00.000000	+08.399900	+05.574500	+08.399900	+05.574500
+1250.246000	-00.000000	+08.199900	+05.452400	+08.199900	+05.452400
+1219.471000	-00.000000	+08.000000	+05.330400	+08.000000	+05.330400
+1193.469000	-00.000000	+07.799800	+05.208300	+07.799800	+05.167600
+1162.535000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1132.725000	-00.000000	+07.399900	+04.964100	+07.399900	+05.004800
+1098.349000	-00.000000	+07.200000	+04.842100	+07.200000	+04.882800
+1061.568000	-00.000000	+06.999800	+04.760700	+06.999800	+04.720000
+1023.273000	-00.000000	+06.799900	+04.638600	+06.799900	+04.597900
+990.326000	-00.000000	+06.599900	+04.475900	+06.599900	+04.516600
+956.719000	-00.000000	+06.400000	+04.353800	+06.400000	+04.353800
+924.271000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+838.966000	-00.000000	+05.999900	+04.109700	+05.999900	+04.069000
+862.026000	-00.000000	+05.799900	+03.946900	+05.799900	+03.946900
+833.912000	-00.000000	+05.599900	+03.824800	+05.599900	+03.824800
+802.246000	-00.000000	+05.399800	+03.702700	+05.399800	+03.702700
+775.256000	-00.000000	+05.199900	+03.540000	+05.199900	+03.540000
+747.630000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+719.016000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+695.419000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+666.744000	-00.000000	+04.399900	+03.011000	+04.399900	+03.011000
+643.513000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
