+00.000000	+00.826733
+00.016252	+00.825127
+00.097616	+00.821332
+00.219647	+00.821361
+00.423067	+00.818186
+00.691631	+00.817318
+00.976479	+00.817659
+01.366905	+00.815967
+01.822766	+00.813997
+02.270214	+00.810651
+02.766662	+00.804515
+03.401331	+00.797307
+04.101189	+00.789421
+04.760417	+00.781189
+05.354529	+00.774600
+06.224885	+00.766172
+07.030820	+00.757042
+08.023764	+00.745839
+08.934952	+00.738353
+10.049711	+00.730306
+11.067323	+00.716695
+12.133091	+00.699927
+13.427175	+00.682596
+14.786057	+00.668729
+16.014866	+00.655010
+17.292654	+00.640212
+18.619282	+00.624717
+20.213611	+00.607485
+21.646413	+00.591362
+23.127681	+00.574591
+24.901385	+00.557170
+26.488026	+00.538740
+28.124800	+00.520028
+29.809108	+00.500920
+31.818772	+00.481759
+33.608840	+00.461582
+35.449200	+00.441898
+37.035020	+00.420523
+39.273243	+00.398409
+40.941150	+00.374596
+43.293600	+00.353881
+45.042871	+00.336245
+47.167118	+00.316187
+49.688784	+00.295290
+51.920000	+00.273959
+54.198298	+00.253140
+56.151590	+00.232648
+58.518455	+00.211528
+60.936960	+00.191006
+63.402413	+00.171945
+65.916341	+00.151590
+68.479417	+00.133735
+70.669400	+00.117194
+73.322688	+00.101706
+76.023736	+00.087842
+78.326276	+00.075259
+81.118636	+00.063985
+83.959124	+00.054136
+86.847291	+00.046394
+89.304426	+00.040262
+92.284800	+00.036285
+89.304426	+00.040796
+86.847291	+00.047080
+83.959124	+00.054707
+81.118636	+00.064898
+78.326276	+00.076227
+76.023736	+00.089211
+73.322688	+00.104232
+70.669400	+00.119887
+68.479417	+00.137282
+65.916341	+00.154769
+63.402413	+00.174019
+60.936960	+00.193202
+58.518455	+00.214236
+56.151590	+00.235074
+53.832002	+00.256972
+51.561840	+00.279045
+49.339633	+00.300606
+47.167118	+00.323057
+45.042871	+00.344251
+42.968000	+00.365556
+40.623698	+00.386849
+38.963927	+00.408830
+37.035020	+00.429459
+35.156160	+00.451599
+33.323948	+00.472651
+31.542016	+00.493827
