%26/03/2021 12:01:38
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+1977.905000	-00.000000	+07.799800	+05.208300	+07.799800	+05.208300
+1906.992000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1834.565000	-00.000000	+07.399900	+04.964100	+07.399900	+05.004800
+1767.571000	-00.000000	+07.200000	+04.842100	+07.200000	+04.882800
+1701.187000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+1634.303000	-00.000000	+06.799900	+04.597900	+06.799900	+04.597900
+1568.896000	-00.000000	+06.599900	+04.475900	+06.599900	+04.475900
+1513.340000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1457.698000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1399.872000	+00.040600	+05.999900	+04.069000	+05.999900	+04.109700
+1344.853000	-00.000000	+05.799900	+03.946900	+05.799900	+03.987600
+1289.908000	-00.000000	+05.599900	+03.824800	+05.599900	+03.784100
+1238.929000	-00.000000	+05.399800	+03.662100	+05.399800	+03.702700
+1187.255000	-00.000000	+05.199900	+03.540000	+05.199900	+03.580700
+1142.064000	+00.040600	+04.999900	+03.458600	+04.999900	+03.458600
+1096.274000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+1055.721000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+1017.524000	-00.000000	+04.399900	+03.011000	+04.399900	+03.011000
+984.222000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+948.625000	-00.000000	+03.999900	+02.766900	+03.999900	+02.726200
+914.823000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+884.243000	-00.000000	+03.599900	+02.441400	+03.599900	+02.482000
+854.164000	-00.000000	+03.399900	+02.360000	+03.399900	+02.319300
+827.625000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+802.332000	+00.040600	+02.999800	+02.034500	+02.999800	+02.034500
+777.416000	-00.000000	+02.799900	+01.871700	+02.799900	+01.912400
+757.872000	+00.040600	+02.599900	+01.790300	+02.599900	+01.749600
+738.621000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+719.407000	-00.000000	+02.199800	+01.505500	+02.199800	+01.505500
+700.888000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+685.861000	-00.000000	+01.799900	+01.220700	+01.799900	+01.220700
+671.920000	-00.000000	+01.599900	+01.057900	+01.599900	+01.057900
+661.983000	-00.000000	+01.399800	+00.976500	+01.399800	+00.935800
+652.400000	-00.000000	+01.199900	+00.773100	+01.199900	+00.813800
+642.097000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+635.823000	-00.000000	+00.799900	+00.528900	+00.799900	+00.488200
+628.925000	+00.040600	+00.599800	+00.366200	+00.599800	+00.366200
+625.886000	+00.040600	+00.399900	+00.203400	+00.399900	+00.244100
+620.014000	+00.040600	+00.199900	+00.081300	+00.199900	+00.081300
+615.265000	-00.000000	+00.000000	-00.040600	+00.000000	-00.040600
+616.388000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+616.657000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+619.123000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+623.981000	-00.000000	+00.799900	+00.488200	+00.799900	+00.528900
+631.391000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+638.154000	-00.000000	+01.199900	+00.773100	+01.199900	+00.813800
+648.811000	-00.000000	+01.399800	+00.935800	+01.399800	+00.935800
+659.774000	-00.000000	+01.599900	+01.098600	+01.599900	+01.057900
+675.008000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+690.365000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+708.139000	-00.000000	+02.199800	+01.505500	+02.199800	+01.546200
+728.501000	+00.040600	+02.399900	+01.668200	+02.399900	+01.668200
+750.536000	-00.000000	+02.599900	+01.790300	+02.599900	+01.749600
+775.561000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+800.659000	-00.000000	+02.999800	+02.034500	+02.999800	+02.034500
+824.866000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+850.026000	-00.000000	+03.399900	+02.319300	+03.399900	+02.319300
+883.157000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+920.426000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+950.713000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+984.600000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+1024.042000	-00.000000	+04.399900	+03.051700	+04.399900	+03.011000
+1065.792000	-00.000000	+04.599800	+03.173800	+04.599800	+03.133100
+1106.406000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+1154.833000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1203.211000	-00.000000	+05.199900	+03.540000	+05.199900	+03.540000
+1254.933000	-00.000000	+05.399800	+03.662100	+05.399800	+03.662100
+1310.929000	-00.000000	+05.599900	+03.824800	+05.599900	+03.824800
+1363.652000	-00.000000	+05.799900	+03.946900	+05.799900	+03.946900
+1418.635000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1472.677000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1533.921000	-00.000000	+06.400000	+04.353800	+06.400000	+04.313100
+1597.559000	-00.000000	+06.599900	+04.516600	+06.599900	+04.475900
+1657.936000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1720.707000	-00.000000	+06.999800	+04.720000	+06.999800	+04.720000
+1783.343000	-00.000000	+07.200000	+04.842100	+07.200000	+04.882800
+1854.500000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+1928.782000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+2000.244000	+00.040600	+07.799800	+05.249000	+07.799800	+05.208300
+2077.932000	-00.000000	+08.000000	+05.330400	+08.000000	+05.330400
+2160.881000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+2228.193000	-00.000000	+08.399900	+05.574500	+08.399900	+05.615200
+2292.685000	-00.000000	+08.599800	+05.696600	+08.599800	+05.696600
+2364.025000	-00.000000	+08.800000	+05.818600	+08.800000	+05.859300
+2435.011000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+2493.741000	-00.000000	+09.199900	+06.103500	+09.199900	+06.062800
+2564.800000	-00.000000	+09.399800	+06.225500	+09.399800	+06.184800
+2626.704000	+00.040600	+09.600000	+06.347600	+09.600000	+06.306900
+2682.076000	-00.000000	+09.799900	+06.429000	+09.799900	+06.429000
+2736.094000	-00.000000	+09.999900	+06.551100	+09.999900	+06.551100
+2782.800000	-00.000000	+10.199800	+06.673100	+10.199800	+06.673100
+2835.243000	-00.000000	+10.399900	+06.795200	+10.399900	+06.754500
+2880.251000	-00.000000	+10.599900	+06.917300	+10.599900	+06.876600
+2906.339000	-00.000000	+10.799900	+06.998600	+10.799900	+06.958000
+2931.913000	-00.000000	+10.999800	+07.080000	+10.999800	+07.080000
+2975.994000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+3038.435000	-00.000000	+11.399900	+07.324200	+11.399900	+07.324200
+3065.658000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+3068.905000	-00.000000	+11.799800	+07.527600	+11.799800	+07.527600
+3069.588000	+00.040600	+12.000000	+07.649700	+12.000000	+07.649700
+3044.685000	-00.000000	+11.799800	+07.527600	+11.799800	+07.527600
+3021.589000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+2993.304000	-00.000000	+11.399900	+07.283500	+11.399900	+07.324200
+2964.397000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+2931.718000	-00.000000	+10.999800	+07.080000	+10.999800	+07.080000
+2896.243000	-00.000000	+10.799900	+06.958000	+10.799900	+06.958000
+2856.117000	+00.040600	+10.599900	+06.876600	+10.599900	+06.917300
+2812.085000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+2762.474000	-00.000000	+10.199800	+06.632400	+10.199800	+06.673100
+2710.068000	-00.000000	+09.999900	+06.551100	+09.999900	+06.551100
+2649.861000	-00.000000	+09.799900	+06.429000	+09.799900	+06.388300
+2593.780000	-00.000000	+09.600000	+06.347600	+09.600000	+06.306900
+2533.976000	-00.000000	+09.399800	+06.184800	+09.399800	+06.184800
+2468.044000	-00.000000	+09.199900	+06.022100	+09.199900	+06.062800
+2400.720000	-00.000000	+08.999900	+05.940700	+08.999900	+05.940700
+2332.127000	+00.040600	+08.800000	+05.818600	+08.800000	+05.818600
+2265.633000	-00.000000	+08.599800	+05.655900	+08.599800	+05.696600
+2201.740000	-00.000000	+08.399900	+05.574500	+08.399900	+05.574500
+2134.794000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+2063.942000	-00.000000	+08.000000	+05.330400	+08.000000	+05.330400
+1997.119000	-00.000000	+07.799800	+05.167600	+07.799800	+05.208300
+1929.124000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1859.713000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+1789.703000	-00.000000	+07.200000	+04.842100	+07.200000	+04.842100
+1732.548000	+00.040600	+06.999800	+04.720000	+06.999800	+04.760700
+1671.426000	+00.040600	+06.799900	+04.638600	+06.799900	+04.597900
+1611.426000	-00.000000	+06.599900	+04.475900	+06.599900	+04.475900
+1552.159000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+1490.841000	+00.040600	+06.199800	+04.191000	+06.199800	+04.231700
+1430.732000	-00.000000	+05.999900	+04.109700	+05.999900	+04.069000
+1370.281000	-00.000000	+05.799900	+03.946900	+05.799900	+03.946900
+1311.454000	-00.000000	+05.599900	+03.824800	+05.599900	+03.824800
+1254.775000	-00.000000	+05.399800	+03.702700	+05.399800	+03.662100
+1201.733000	+00.040600	+05.199900	+03.580700	+05.199900	+03.540000
+1155.797000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1106.943000	-00.000000	+04.799900	+03.255200	+04.799900	+03.295800
+1064.852000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+1020.966000	-00.000000	+04.399900	+03.011000	+04.399900	+03.011000
+985.382000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+947.050000	-00.000000	+03.999900	+02.726200	+03.999900	+02.726200
+910.526000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+877.419000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+845.863000	+00.040600	+03.399900	+02.319300	+03.399900	+02.319300
+817.042000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+790.613000	-00.000000	+02.999800	+02.034500	+02.999800	+02.075100
+766.771000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+748.155000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+728.379000	+00.040600	+02.399900	+01.668200	+02.399900	+01.668200
+712.937000	-00.000000	+02.199800	+01.505500	+02.199800	+01.505500
+697.775000	-00.000000	+01.999900	+01.342700	+01.999900	+01.383400
+684.408000	+00.040600	+01.799900	+01.220700	+01.799900	+01.220700
+670.919000	-00.000000	+01.599900	+01.057900	+01.599900	+01.057900
+658.235000	-00.000000	+01.399800	+00.976500	+01.399800	+00.935800
+649.324000	+00.040600	+01.199900	+00.813800	+01.199900	+00.773100
+640.010000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+633.198000	+00.040600	+00.799900	+00.528900	+00.799900	+00.528900
+628.376000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+624.958000	-00.000000	+00.399900	+00.203400	+00.399900	+00.203400
+622.687000	-00.000000	+00.199900	+00.040600	+00.199900	+00.081300
