%26/03/2021 11:35:16
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2720.493000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+2715.207000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+2702.719000	-00.000000	+00.399900	+00.244100	+00.399900	+00.203400
+2702.817000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+2692.367000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2689.511000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2690.634000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2685.067000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2678.585000	-00.000000	+01.599900	+01.139300	+01.599900	+01.098600
+2667.574000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+2647.383000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+2623.664000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2597.711000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+2570.623000	-00.000000	+02.599900	+01.831000	+02.599900	+01.790300
+2548.943000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+2521.207000	-00.000000	+02.999800	+02.075100	+02.999800	+02.115800
+2491.165000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+2454.299000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2429.664000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+2403.186000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+2358.397000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
