%20/01/2021 17:16:30
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza%PD at channel 3: Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]
0.0	11.027	3.1999	0.7731	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.8138	3.1999	0.7731
0.0	11.027	3.3999	0.8138	3.3999	0.8138	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544
0.0	11.027	3.5999	0.8951	3.5999	0.9358	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.9358	3.5999	0.8951	3.5999	0.8951	3.5999	0.9358
0.0	10.9049	3.7998	0.9358	3.7998	0.9358	3.7998	0.9765	3.7998	0.9765	3.7998	0.9358	3.7998	0.9765	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358
0.0	10.8235	3.9999	1.0172	3.9999	0.9765	3.9999	1.0172	3.9999	0.9765	3.9999	1.0172	3.9999	0.9765	3.9999	0.9765	3.9999	1.0172	3.9999	0.9765	3.9999	0.9765
0.0	10.8642	3.7998	0.9358	3.7998	0.9358	3.7998	0.9765	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358	3.7998	0.9358
0.0	10.9456	3.5999	0.9358	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.9358	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951	3.5999	0.8951
0.0	10.9863	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544	3.3999	0.8544
0.0	10.9456	3.1998	0.7731	3.1998	0.8138	3.1998	0.7731	3.1998	0.8138	3.1998	0.8138	3.1998	0.8138	3.1998	0.7731	3.1998	0.8138	3.1998	0.8138	3.1998	0.7731
0.0	10.9049	2.9998	0.7324	2.9998	0.7324	2.9998	0.7324	2.9998	0.7731	2.9998	0.7731	2.9998	0.7731	2.9998	0.7731	2.9998	0.7324	2.9998	0.7324	2.9998	0.7731
