%26/03/2021 10:43:25
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+1999.817000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+1999.817000	-00.000000	+00.199900	+00.122000	+00.199900	+00.122000
+1999.817000	-00.000000	+00.399900	+00.244100	+00.399900	+00.284800
+1999.817000	-00.000000	+00.599800	+00.406900	+00.599800	+00.366200
+1999.817000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+1999.817000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+1999.817000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+1999.817000	-00.000000	+01.399800	+01.017200	+01.399800	+00.976500
+1999.817000	-00.000000	+01.599900	+01.139300	+01.599900	+01.098600
+1999.817000	-00.000000	+01.799900	+01.302000	+01.799900	+01.261300
+1999.817000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+1999.817000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+1999.817000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+1999.817000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+1999.817000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+1999.817000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+1999.817000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+1999.817000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+1999.817000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+1999.817000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+1999.817000	-00.000000	+03.999900	+02.807600	+03.999900	+02.807600
+1999.817000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+1999.817000	-00.000000	+04.399900	+03.092400	+04.399900	+03.051700
+1999.817000	-00.000000	+04.599800	+03.214500	+04.599800	+03.214500
+1999.817000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+1999.817000	-00.000000	+04.999900	+03.499300	+04.999900	+03.458600
+1999.817000	-00.000000	+05.199900	+03.621400	+05.199900	+03.621400
+1999.817000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1999.817000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1999.817000	-00.000000	+05.799900	+04.028300	+05.799900	+04.028300
+1999.817000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+1999.817000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1999.817000	-00.000000	+06.400000	+04.394500	+06.400000	+04.435200
+1999.817000	-00.000000	+06.599900	+04.557200	+06.599900	+04.557200
+1999.817000	-00.000000	+06.799900	+04.679300	+06.799900	+04.638600
+1999.817000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1999.817000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1999.817000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+1999.817000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1999.817000	-00.000000	+07.799800	+05.249000	+07.799800	+05.289700
+1999.817000	-00.000000	+08.000000	+05.411700	+08.000000	+05.371000
+1999.817000	-00.000000	+08.199900	+05.533800	+08.199900	+05.533800
+1999.817000	-00.000000	+08.399900	+05.655900	+08.399900	+05.655900
+1999.817000	-00.000000	+08.599800	+05.777900	+08.599800	+05.777900
+1999.817000	-00.000000	+08.800000	+05.900000	+08.800000	+05.900000
+1999.817000	-00.000000	+08.999900	+06.022100	+08.999900	+05.981400
+1999.817000	-00.000000	+09.199900	+06.144200	+09.199900	+06.144200
+1999.817000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+1999.319000	-00.000000	+09.600000	+06.388300	+09.600000	+06.347600
+1778.515000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+1563.641000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+1378.414000	-00.000000	+10.199800	+06.754500	+10.199800	+06.713800
+1209.080000	-00.000000	+10.399900	+06.876600	+10.399900	+06.835900
+1054.385000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+913.859000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+787.268000	-00.000000	+10.999800	+07.161400	+10.999800	+07.120700
+674.196000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+578.979000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+502.158000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+452.703000	-00.000000	+11.799800	+07.609000	+11.799800	+07.568300
+422.866000	-00.000000	+12.000000	+07.690400	+12.000000	+07.690400
+461.472000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+517.791000	-00.000000	+11.599900	+07.446200	+11.599900	+07.486900
+593.210000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+689.334000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+803.509000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+932.385000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+1075.890000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+1233.438000	-00.000000	+10.399900	+06.835900	+10.399900	+06.795200
+1400.735000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+1580.843000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+1770.727000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+1966.329000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+1999.817000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+1999.817000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+1999.817000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+1999.817000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+1999.817000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+1999.817000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1999.817000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1999.817000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+1999.817000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1999.817000	-00.000000	+07.599900	+05.126900	+07.599900	+05.167600
+1999.817000	-00.000000	+07.399900	+05.045500	+07.399900	+05.004800
+1999.817000	-00.000000	+07.200000	+04.882800	+07.200000	+04.923500
+1999.817000	-00.000000	+06.999800	+04.801400	+06.999800	+04.760700
+1999.817000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1999.817000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1999.817000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1999.817000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1999.817000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1999.817000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1999.817000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1999.817000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+1999.817000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1999.817000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1999.817000	-00.000000	+04.799900	+03.295800	+04.799900	+03.336500
+1999.817000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+1999.817000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+1999.817000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
+1999.817000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+1999.817000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+1999.817000	-00.000000	+03.599900	+02.482000	+03.599900	+02.522700
+1999.817000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+1999.817000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+1999.817000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+1999.817000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+1999.817000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+1999.817000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+1999.817000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+1999.817000	-00.000000	+01.999900	+01.424100	+01.999900	+01.383400
+1999.817000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+1999.817000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+1999.817000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+1999.817000	-00.000000	+01.199900	+00.813800	+01.199900	+00.854400
+1999.817000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+1999.817000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+1999.817000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+1999.817000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+1999.817000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+1999.817000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+1999.817000	-00.000000	+00.199900	+00.122000	+00.199900	+00.081300
+1999.817000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+1999.817000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+1999.817000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+1999.817000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+1999.817000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+1999.817000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+1999.817000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+1999.817000	-00.000000	+01.799900	+01.220700	+01.799900	+01.261300
+1999.817000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+1999.817000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+1999.817000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+1999.817000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+1999.817000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+1999.817000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+1999.817000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+1999.817000	-00.000000	+03.399900	+02.400700	+03.399900	+02.360000
+1999.817000	-00.000000	+03.599900	+02.522700	+03.599900	+02.482000
+1999.817000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+1999.817000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+1999.817000	-00.000000	+04.199900	+02.888900	+04.199900	+02.929600
+1999.817000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+1999.817000	-00.000000	+04.599800	+03.173800	+04.599800	+03.214500
+1999.817000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+1999.817000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1999.817000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1999.817000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1999.817000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1999.817000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1999.817000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1999.817000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1999.817000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1999.817000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1999.817000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1999.817000	-00.000000	+06.999800	+04.760700	+06.999800	+04.801400
+1999.817000	-00.000000	+07.200000	+04.923500	+07.200000	+04.882800
+1999.817000	-00.000000	+07.399900	+05.004800	+07.399900	+05.045500
+1999.817000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1999.817000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1999.817000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+1999.817000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1999.817000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1999.817000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+1999.817000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+1999.817000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+1999.817000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+1999.817000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+1923.306000	-00.000000	+09.600000	+06.347600	+09.600000	+06.388300
+1737.980000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+1557.981000	-00.000000	+09.999900	+06.551100	+09.999900	+06.591700
+1385.490000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+1219.774000	-00.000000	+10.399900	+06.795200	+10.399900	+06.835900
+1061.047000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+914.839000	-00.000000	+10.799900	+06.998600	+10.799900	+07.039300
+778.495000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+667.376000	-00.000000	+11.199900	+07.242800	+11.199900	+07.202100
+577.214000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+505.294000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+455.173000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+426.343000	-00.000000	+12.000000	+07.690400	+12.000000	+07.649700
+456.064000	-00.000000	+11.799800	+07.568300	+11.799800	+07.527600
+506.380000	-00.000000	+11.599900	+07.446200	+11.599900	+07.486900
+576.127000	-00.000000	+11.399900	+07.324200	+11.399900	+07.364900
+664.579000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
