%26/03/2021 11:01:39
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2478.018000	-00.040600	+00.000000	+00.000000	+00.000000	+00.000000
+2486.184000	-00.000000	+00.199900	+00.122000	+00.199900	+00.122000
+2482.778000	-00.000000	+00.399900	+00.284800	+00.399900	+00.244100
+2472.500000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+2466.372000	-00.000000	+00.799900	+00.569600	+00.799900	+00.569600
+2453.468000	-00.000000	+00.999900	+00.732400	+00.999900	+00.691700
+2443.641000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+2422.730000	-00.040600	+01.399800	+00.976500	+01.399800	+00.976500
+2420.240000	-00.000000	+01.599900	+01.139300	+01.599900	+01.139300
+2401.404000	-00.000000	+01.799900	+01.302000	+01.799900	+01.302000
+2385.754000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+2366.308000	-00.000000	+02.199800	+01.586900	+02.199800	+01.586900
+2335.777000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+2304.978000	-00.000000	+02.599900	+01.831000	+02.599900	+01.790300
+2275.777000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+2265.377000	-00.000000	+02.999800	+02.115800	+02.999800	+02.115800
+2217.353000	-00.000000	+03.199900	+02.278600	+03.199900	+02.237900
+2189.251000	-00.000000	+03.399900	+02.400700	+03.399900	+02.400700
+2157.134000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+2125.431000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+2105.081000	-00.000000	+03.999900	+02.807600	+03.999900	+02.807600
+2066.909000	-00.000000	+04.199900	+02.970300	+04.199900	+02.929600
+2016.334000	-00.000000	+04.399900	+03.092400	+04.399900	+03.092400
+1973.070000	-00.000000	+04.599800	+03.214500	+04.599800	+03.214500
+1943.846000	-00.000000	+04.799900	+03.377200	+04.799900	+03.336500
+1885.189000	-00.000000	+04.999900	+03.499300	+04.999900	+03.499300
+1841.816000	-00.000000	+05.199900	+03.621400	+05.199900	+03.580700
+1790.985000	-00.000000	+05.399800	+03.784100	+05.399800	+03.743400
+1751.970000	-00.000000	+05.599900	+03.865500	+05.599900	+03.906200
+1697.037000	-00.000000	+05.799900	+04.028300	+05.799900	+04.028300
+1642.140000	-00.000000	+05.999900	+04.150300	+05.999900	+04.150300
+1584.899000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1521.995000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1466.500000	-00.000000	+06.599900	+04.557200	+06.599900	+04.557200
+1408.918000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1346.587000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1292.557000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1228.004000	-00.000000	+07.399900	+05.086200	+07.399900	+05.045500
+1166.967000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1106.687000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1045.735000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+983.770000	-00.000000	+08.199900	+05.493100	+08.199900	+05.533800
+921.073000	-00.000000	+08.399900	+05.655900	+08.399900	+05.615200
+857.631000	-00.000000	+08.599800	+05.777900	+08.599800	+05.777900
+798.206000	-00.000000	+08.800000	+05.900000	+08.800000	+05.900000
+733.164000	-00.000000	+08.999900	+06.022100	+08.999900	+06.022100
+666.463000	-00.000000	+09.199900	+06.144200	+09.199900	+06.144200
+603.497000	-00.000000	+09.399800	+06.266200	+09.399800	+06.266200
+545.097000	-00.000000	+09.600000	+06.388300	+09.600000	+06.347600
+487.869000	-00.000000	+09.799900	+06.510400	+09.799900	+06.469700
+435.023000	-00.000000	+09.999900	+06.632400	+09.999900	+06.632400
+385.839000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+338.475000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+295.932000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+257.625000	-00.000000	+10.799900	+07.039300	+10.799900	+06.998600
+222.639000	-00.000000	+10.999800	+07.120700	+10.999800	+07.161400
+190.997000	-00.000000	+11.199900	+07.283500	+11.199900	+07.242800
+166.436000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+146.464000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+132.353000	-00.000000	+11.799800	+07.609000	+11.799800	+07.568300
+121.476000	-00.000000	+12.000000	+07.690400	+12.000000	+07.731100
+132.511000	-00.000000	+11.799800	+07.609000	+11.799800	+07.609000
+145.793000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+167.229000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+191.559000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+223.566000	-00.000000	+10.999800	+07.161400	+10.999800	+07.120700
+259.603000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+299.216000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+342.747000	-00.000000	+10.399900	+06.795200	+10.399900	+06.835900
+390.234000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+443.202000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+497.330000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+555.742000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+615.217000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+677.633000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+740.635000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+803.540000	-00.000000	+08.800000	+05.900000	+08.800000	+05.859300
+866.823000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+932.768000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1001.508000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1066.036000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+1135.020000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1204.370000	-00.000000	+07.599900	+05.167600	+07.599900	+05.126900
+1273.061000	-00.000000	+07.399900	+05.045500	+07.399900	+05.004800
+1337.846000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1401.080000	-00.000000	+06.999800	+04.760700	+06.999800	+04.801400
+1463.582000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1525.388000	-00.000000	+06.599900	+04.557200	+06.599900	+04.516600
+1586.254000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1644.667000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1706.278000	-00.000000	+05.999900	+04.150300	+05.999900	+04.150300
+1761.943000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1809.980000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1866.915000	-00.000000	+05.399800	+03.702700	+05.399800	+03.743400
+1920.750000	-00.000000	+05.199900	+03.580700	+05.199900	+03.621400
+1971.886000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+2019.849000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+2068.960000	-00.000000	+04.599800	+03.173800	+04.599800	+03.214500
+2107.682000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2144.963000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+2049.867000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+2213.117000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+2243.818000	-00.000000	+03.599900	+02.522700	+03.599900	+02.482000
+2271.773000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2297.751000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+2324.241000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+2345.116000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+2370.849000	-00.000000	+02.599900	+01.831000	+02.599900	+01.790300
+2390.905000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+2407.984000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2427.198000	-00.000000	+01.999900	+01.424100	+01.999900	+01.383400
+2441.749000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+2454.457000	-00.000000	+01.599900	+01.139300	+01.599900	+01.139300
+2464.235000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2473.196000	-00.000000	+01.199900	+00.854400	+01.199900	+00.813800
+2483.743000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+2485.806000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2491.128000	-00.000000	+00.599800	+00.406900	+00.599800	+00.366200
+2495.181000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2497.122000	-00.000000	+00.199900	+00.122000	+00.199900	+00.081300
+2488.955000	-00.000000	+00.000000	-00.040600	+00.000000	+00.000000
+2485.501000	-00.000000	+00.199900	+00.081300	+00.199900	+00.122000
+2483.059000	-00.000000	+00.399900	+00.244100	+00.399900	+00.284800
+2475.918000	-00.000000	+00.599800	+00.406900	+00.599800	+00.366200
+2470.241000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2461.660000	-00.000000	+00.999900	+00.651000	+00.999900	+00.691700
+2451.418000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2439.943000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2426.160000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+2410.755000	-00.000000	+01.799900	+01.302000	+01.799900	+01.261300
+2393.213000	-00.000000	+01.999900	+01.383400	+01.999900	+01.424100
+2377.148000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2353.929000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+2329.759000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+2311.386000	-00.000000	+02.799900	+01.912400	+02.799900	+01.953100
+2285.336000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+2257.711000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+2229.609000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2200.140000	-00.000000	+03.599900	+02.522700	+03.599900	+02.482000
+2166.240000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+2123.893000	-00.000000	+03.999900	+02.807600	+03.999900	+02.766900
+2075.576000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+2046.010000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2012.964000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+1970.482000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+1927.390000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1878.463000	-00.000000	+05.199900	+03.621400	+05.199900	+03.580700
+1827.241000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1771.197000	-00.000000	+05.599900	+03.824800	+05.599900	+03.865500
+1743.937000	-00.000000	+05.799900	+04.028300	+05.799900	+03.987600
+1680.483000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+1613.196000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1554.064000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1495.431000	-00.000000	+06.599900	+04.516600	+06.599900	+04.557200
+1439.668000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1373.785000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1305.338000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1245.473000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+1180.883000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1118.430000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1047.664000	-00.000000	+08.000000	+05.411700	+08.000000	+05.371000
+993.841000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+920.023000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+846.083000	-00.000000	+08.599800	+05.777900	+08.599800	+05.777900
+784.680000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+721.494000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+665.584000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+606.330000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+549.174000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+492.203000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+444.508000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+397.266000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+346.629000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+299.911000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+255.940000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+221.076000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+190.387000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+167.791000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+149.260000	-00.000000	+11.599900	+07.446200	+11.599900	+07.486900
+137.236000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+131.376000	-00.000000	+12.000000	+07.690400	+12.000000	+07.690400
+139.640000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+152.324000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+171.953000	-00.000000	+11.399900	+07.364900	+11.399900	+07.324200
+194.903000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+226.020000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+259.761000	-00.000000	+10.799900	+06.998600	+10.799900	+07.039300
+300.656000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+341.942000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+392.920000	-00.000000	+10.199800	+06.673100	+10.199800	+06.713800
+438.978000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+493.313000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+549.065000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+604.816000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+665.328000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+730.052000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+793.054000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+857.302000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+921.940000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+987.872000	-00.000000	+08.199900	+05.493100	+08.199900	+05.452400
+1052.693000	-00.000000	+08.000000	+05.330400	+08.000000	+05.371000
+1117.734000	-00.000000	+07.799800	+05.249000	+07.799800	+05.208300
+1184.741000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1250.270000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+1316.166000	-00.000000	+07.200000	+04.882800	+07.200000	+04.882800
+1380.877000	-00.000000	+06.999800	+04.760700	+06.999800	+04.801400
+1445.076000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1508.054000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1570.006000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+1629.078000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1688.711000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1745.610000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1801.959000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1855.879000	-00.000000	+05.399800	+03.702700	+05.399800	+03.743400
