%26/03/2021 10:29:21
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%10.0	10.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+15.840000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+15.780000	-00.000000	+03.399900	+02.319300	+03.399900	+02.360000
+15.854000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+15.830000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+15.800000	-00.000000	+02.799900	+01.953100	+02.799900	+01.912400
+15.854000	-00.000000	+02.599900	+01.790300	+02.599900	+01.749600
+15.715000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+15.821000	-00.000000	+02.199800	+01.546200	+02.199800	+01.505500
+15.917000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+15.832000	-00.000000	+01.799900	+01.261300	+01.799900	+01.220700
+15.832000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+15.796000	-00.000000	+01.399800	+00.935800	+01.399800	+00.935800
+15.799000	-00.000000	+01.199900	+00.854400	+01.199900	+00.813800
+15.948000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+15.901000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+15.854000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+15.832000	-00.000000	+00.399900	+00.203400	+00.399900	+00.244100
+15.897000	-00.000000	+00.199900	+00.040600	+00.199900	+00.081300
+15.874000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+15.820000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+15.747000	-00.000000	+00.399900	+00.203400	+00.399900	+00.203400
+15.834000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+15.722000	-00.000000	+00.799900	+00.488200	+00.799900	+00.528900
+15.737000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+15.854000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+15.854000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+15.797000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+15.825000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+15.760000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+15.842000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+15.841000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+15.902000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+15.812000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+15.767000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+15.821000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+15.858000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+15.869000	+00.040600	+03.599900	+02.482000	+03.599900	+02.482000
+15.838000	-00.000000	+03.799800	+02.644800	+03.799800	+02.604100
+15.818000	+00.040600	+03.999900	+02.726200	+03.999900	+02.766900
+15.801000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+15.821000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+15.832000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+15.787000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+15.808000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+15.850000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+15.892000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+15.844000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+15.801000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+15.783000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+15.788000	-00.000000	+06.199800	+04.272400	+06.199800	+04.231700
+15.805000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+15.812000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+15.699000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+15.804000	-00.000000	+06.999800	+04.801400	+06.999800	+04.760700
+15.763000	-00.000000	+07.200000	+04.882800	+07.200000	+04.923500
+15.646000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+15.755000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+15.799000	-00.000000	+07.799800	+05.249000	+07.799800	+05.208300
+15.789000	-00.000000	+08.000000	+05.371000	+08.000000	+05.330400
+15.822000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+15.844000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+15.848000	-00.000000	+08.599800	+05.737300	+08.599800	+05.777900
+15.799000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+15.771000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+15.873000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+15.770000	-00.000000	+09.399800	+06.225500	+09.399800	+06.184800
+15.788000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+15.660000	-00.000000	+09.799900	+06.429000	+09.799900	+06.469700
+15.749000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+15.718000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+15.811000	-00.000000	+09.600000	+06.347600	+09.600000	+06.306900
+15.693000	-00.000000	+09.399800	+06.225500	+09.399800	+06.184800
+15.813000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+15.859000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+15.841000	-00.000000	+08.800000	+05.818600	+08.800000	+05.859300
+15.788000	-00.000000	+08.599800	+05.696600	+08.599800	+05.737300
+15.741000	-00.000000	+08.399900	+05.574500	+08.399900	+05.615200
+15.743000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+15.764000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+15.829000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+15.777000	-00.000000	+07.599900	+05.167600	+07.599900	+05.126900
+15.587000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+15.748000	-00.000000	+07.200000	+04.882800	+07.200000	+04.882800
+15.783000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+15.825000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+15.800000	-00.000000	+06.599900	+04.516600	+06.599900	+04.475900
+15.738000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+15.725000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+15.656000	-00.000000	+05.999900	+04.069000	+05.999900	+04.069000
+15.797000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+15.856000	-00.000000	+05.599900	+03.824800	+05.599900	+03.865500
+15.788000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+15.974000	-00.000000	+05.199900	+03.540000	+05.199900	+03.580700
+15.844000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+15.998000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+15.838000	-00.000000	+04.599800	+03.133100	+04.599800	+03.173800
+15.840000	-00.000000	+04.399900	+03.011000	+04.399900	+03.011000
+15.860000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+15.920000	-00.000000	+03.999900	+02.726200	+03.999900	+02.766900
+15.932000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+15.813000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+15.913000	-00.000000	+03.399900	+02.319300	+03.399900	+02.360000
+15.829000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+15.824000	+00.040600	+02.999800	+02.075100	+02.999800	+02.034500
+15.910000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+15.840000	-00.000000	+02.599900	+01.790300	+02.599900	+01.749600
+15.746000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+15.792000	-00.000000	+02.199800	+01.546200	+02.199800	+01.505500
+15.805000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+15.828000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+15.892000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+15.786000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+15.937000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+15.817000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+15.875000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+15.912000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+15.755000	-00.000000	+00.399900	+00.203400	+00.399900	+00.244100
+15.866000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
