%26/03/2021 12:04:54
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+608.051000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+606.879000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+608.905000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+611.261000	-00.000000	+00.599800	+00.406900	+00.599800	+00.366200
+616.718000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+623.347000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+629.853000	-00.000000	+01.199900	+00.854400	+01.199900	+00.813800
+641.926000	-00.000000	+01.399800	+00.935800	+01.399800	+00.976500
+654.720000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+670.602000	-00.000000	+01.799900	+01.220700	+01.799900	+01.261300
+684.933000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+701.535000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+720.139000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+741.478000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+763.646000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+786.511000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+814.881000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+843.458000	-00.000000	+03.399900	+02.319300	+03.399900	+02.360000
+874.624000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+904.837000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+936.210000	-00.000000	+03.999900	+02.766900	+03.999900	+02.726200
+973.540000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
