%26/03/2021 11:12:26
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2099.161000	-00.040600	+00.000000	+00.000000	+00.000000	+00.000000
+2103.885000	-00.040600	+00.199900	+00.122000	+00.199900	+00.162700
+2100.540000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2093.350000	-00.000000	+00.599800	+00.406900	+00.599800	+00.447500
+2080.667000	-00.000000	+00.799900	+00.569600	+00.799900	+00.569600
+2063.259000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2043.703000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+2061.892000	-00.000000	+01.399800	+01.017200	+01.399800	+00.976500
+2063.979000	-00.000000	+01.599900	+01.139300	+01.599900	+01.098600
+2054.506000	-00.000000	+01.799900	+01.261300	+01.799900	+01.302000
+2046.144000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+2025.684000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2000.855000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+1996.460000	-00.000000	+02.599900	+01.831000	+02.599900	+01.790300
+1979.724000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+1949.791000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+1916.379000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+1898.581000	-00.000000	+03.399900	+02.400700	+03.399900	+02.360000
+1872.823000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+1839.546000	-00.000000	+03.799800	+02.644800	+03.799800	+02.685500
+1808.600000	-00.000000	+03.999900	+02.766900	+03.999900	+02.807600
+1775.909000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+1743.339000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+1712.638000	-00.000000	+04.599800	+03.214500	+04.599800	+03.214500
+1663.027000	-00.000000	+04.799900	+03.377200	+04.799900	+03.377200
+1626.868000	-00.000000	+04.999900	+03.499300	+04.999900	+03.499300
+1589.294000	-00.000000	+05.199900	+03.621400	+05.199900	+03.621400
+1557.115000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1510.007000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1454.817000	-00.000000	+05.799900	+04.028300	+05.799900	+03.987600
+1397.516000	-00.000000	+05.999900	+04.150300	+05.999900	+04.150300
+1354.265000	-00.000000	+06.199800	+04.272400	+06.199800	+04.313100
+1302.860000	-00.000000	+06.400000	+04.394500	+06.400000	+04.435200
+1255.715000	-00.000000	+06.599900	+04.557200	+06.599900	+04.557200
+1198.291000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1153.404000	-00.000000	+06.999800	+04.842100	+06.999800	+04.801400
+1101.120000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1042.146000	-00.000000	+07.399900	+05.086200	+07.399900	+05.045500
+922.953000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+925.394000	-00.000000	+07.799800	+05.289700	+07.799800	+05.289700
+870.766000	-00.000000	+08.000000	+05.411700	+08.000000	+05.411700
+817.786000	-00.000000	+08.199900	+05.533800	+08.199900	+05.493100
+764.757000	-00.000000	+08.399900	+05.655900	+08.399900	+05.615200
+708.493000	-00.000000	+08.599800	+05.777900	+08.599800	+05.777900
+666.317000	-00.000000	+08.800000	+05.900000	+08.800000	+05.900000
+610.810000	-00.000000	+08.999900	+06.022100	+08.999900	+06.022100
+560.662000	-00.000000	+09.199900	+06.144200	+09.199900	+06.144200
+505.240000	-00.000000	+09.399800	+06.266200	+09.399800	+06.225500
+468.984000	-00.000000	+09.600000	+06.388300	+09.600000	+06.388300
+419.959000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+370.190000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+328.465000	-00.000000	+10.199800	+06.713800	+10.199800	+06.754500
+290.963000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+256.929000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+220.673000	-00.000000	+10.799900	+07.039300	+10.799900	+06.998600
+187.140000	-00.000000	+10.999800	+07.161400	+10.999800	+07.120700
+160.881000	-00.000000	+11.199900	+07.242800	+11.199900	+07.283500
+139.506000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+123.978000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+111.344000	-00.000000	+11.799800	+07.609000	+11.799800	+07.568300
+104.666000	-00.000000	+12.000000	+07.690400	+12.000000	+07.690400
+110.404000	-00.000000	+11.799800	+07.568300	+11.799800	+07.609000
