%26/03/2021 12:22:08
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+462.319000	-00.000000	+00.000000	-00.040600	+00.000000	+00.000000
+463.869000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+464.418000	-00.000000	+00.399900	+00.203400	+00.399900	+00.244100
+466.726000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+469.912000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+476.968000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+480.471000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+489.236000	-00.000000	+01.399800	+00.935800	+01.399800	+00.976500
+496.292000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+507.669000	-00.000000	+01.799900	+01.220700	+01.799900	+01.220700
+519.401000	-00.000000	+01.999900	+01.424100	+01.999900	+01.383400
+531.889000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+545.598000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+559.111000	-00.000000	+02.599900	+01.790300	+02.599900	+01.749600
+574.297000	-00.000000	+02.799900	+01.953100	+02.799900	+01.912400
+592.462000	+00.040600	+02.999800	+02.075100	+02.999800	+02.075100
+611.139000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+630.622000	-00.000000	+03.399900	+02.360000	+03.399900	+02.319300
+653.157000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+676.461000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+700.961000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+727.049000	-00.000000	+04.199900	+02.888900	+04.199900	+02.929600
