%26/03/2021 11:28:33
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2651.216000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+2657.637000	-00.000000	+00.199900	+00.081300	+00.199900	+00.122000
+2656.795000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2654.695000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+2651.827000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2640.864000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2630.256000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2619.807000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2605.646000	-00.000000	+01.599900	+01.098600	+01.599900	+01.139300
+2591.290000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+2575.103000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+2558.184000	-00.000000	+02.199800	+01.546200	+02.199800	+01.586900
+2531.474000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+2511.307000	-00.000000	+02.599900	+01.790300	+02.599900	+01.831000
+2480.068000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+2443.471000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+2416.651000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+2387.756000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2353.526000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+2320.518000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+2284.420000	-00.000000	+03.999900	+02.766900	+03.999900	+02.807600
+2252.425000	-00.000000	+04.199900	+02.888900	+04.199900	+02.929600
+2215.400000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2173.199000	-00.000000	+04.599800	+03.173800	+04.599800	+03.214500
+2132.987000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+2083.901000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+2033.827000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1988.305000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1939.000000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1882.235000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1829.304000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+1775.933000	-00.000000	+06.199800	+04.272400	+06.199800	+04.231700
+1720.048000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1660.768000	-00.000000	+06.599900	+04.516600	+06.599900	+04.557200
+1602.075000	-00.000000	+06.799900	+04.638600	+06.799900	+04.679300
+1540.342000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1490.939000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1435.432000	-00.000000	+07.399900	+05.045500	+07.399900	+05.004800
+1366.680000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1292.862000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1220.093000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+1146.727000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1067.391000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+996.905000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+925.382000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+854.921000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+735.142000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+713.596000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+646.590000	-00.000000	+09.600000	+06.388300	+09.600000	+06.347600
+581.915000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+515.629000	-00.000000	+09.999900	+06.591700	+09.999900	+06.632400
+452.480000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+396.765000	-00.000000	+10.399900	+06.795200	+10.399900	+06.835900
+345.018000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+297.165000	-00.000000	+10.799900	+07.039300	+10.799900	+06.998600
+255.757000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+220.954000	-00.000000	+11.199900	+07.242800	+11.199900	+07.202100
+190.594000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+166.375000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+145.720000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+130.937000	-00.000000	+12.000000	+07.690400	+12.000000	+07.649700
+145.415000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+165.996000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+192.743000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+227.778000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+267.550000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+310.935000	-00.000000	+10.799900	+06.998600	+10.799900	+06.998600
+357.115000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+409.217000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+464.565000	-00.000000	+10.199800	+06.713800	+10.199800	+06.673100
+523.307000	-00.000000	+09.999900	+06.591700	+09.999900	+06.551100
+582.965000	-00.000000	+09.799900	+06.429000	+09.799900	+06.429000
+645.747000	-00.000000	+09.600000	+06.306900	+09.600000	+06.347600
+708.689000	-00.000000	+09.399800	+06.184800	+09.399800	+06.225500
