%26/03/2021 11:46:38
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-1
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+606.537000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+603.632000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+605.939000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+610.236000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+615.339000	-00.000000	+00.799900	+00.488200	+00.799900	+00.488200
+621.076000	-00.000000	+00.999900	+00.651000	+00.999900	+00.651000
+629.609000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+640.876000	-00.000000	+01.399800	+00.935800	+01.399800	+00.935800
+653.328000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+670.113000	-00.000000	+01.799900	+01.261300	+01.799900	+01.220700
+682.601000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+699.460000	-00.000000	+02.199800	+01.505500	+02.199800	+01.546200
+723.887000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+745.116000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+762.780000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+789.062000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+816.004000	-00.000000	+03.199900	+02.237900	+03.199900	+02.197200
+848.891000	-00.000000	+03.399900	+02.360000	+03.399900	+02.319300
+878.811000	-00.000000	+03.599900	+02.522700	+03.599900	+02.482000
+909.891000	-00.000000	+03.799800	+02.604100	+03.799800	+02.604100
+948.723000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+974.297000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
+1016.218000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+1055.867000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+1092.453000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+1143.834000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1190.991000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1242.897000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1297.391000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1353.276000	-00.000000	+05.799900	+03.987600	+05.799900	+03.946900
+1407.294000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1467.989000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1525.388000	-00.000000	+06.400000	+04.353800	+06.400000	+04.394500
+1584.631000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1639.845000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1709.830000	-00.000000	+06.999800	+04.801400	+06.999800	+04.760700
+1772.759000	-00.000000	+07.200000	+04.923500	+07.200000	+04.882800
+1842.976000	-00.000000	+07.399900	+05.045500	+07.399900	+05.004800
+1908.603000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+2002.979000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+2078.848000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+2159.246000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+2244.771000	+00.040600	+08.399900	+05.615200	+08.399900	+05.574500
+2337.083000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+2406.055000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+2478.310000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+2563.750000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+2642.280000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+2716.343000	-00.000000	+09.600000	+06.306900	+09.600000	+06.306900
+2784.252000	-00.000000	+09.799900	+06.469700	+09.799900	+06.429000
+2679.049000	-00.000000	+09.999900	+06.551100	+09.999900	+06.591700
+2909.037000	-00.000000	+10.199800	+06.673100	+10.199800	+06.673100
+2951.982000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+2991.412000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+3028.449000	-00.000000	+10.799900	+06.998600	+10.799900	+06.998600
+3049.715000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+3074.789000	-00.000000	+11.199900	+07.202100	+11.199900	+07.242800
+3106.577000	-00.000000	+11.399900	+07.324200	+11.399900	+07.364900
+3132.688000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+3153.978000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+3183.630000	-00.000000	+12.000000	+07.649700	+12.000000	+07.690400
+3181.469000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+3171.117000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+3145.335000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+3118.821000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+3079.562000	-00.000000	+10.999800	+07.080000	+10.999800	+07.120700
+3035.688000	+00.040600	+10.799900	+06.998600	+10.799900	+06.958000
+2987.896000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+2931.779000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+2885.501000	-00.000000	+10.199800	+06.713800	+10.199800	+06.673100
+2821.046000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+2760.009000	-00.000000	+09.799900	+06.429000	+09.799900	+06.469700
+2688.144000	-00.000000	+09.600000	+06.306900	+09.600000	+06.306900
+2615.009000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+2539.799000	+00.040600	+09.199900	+06.103500	+09.199900	+06.103500
+2462.807000	-00.000000	+08.999900	+05.940700	+08.999900	+05.981400
+2392.285000	-00.000000	+08.800000	+05.818600	+08.800000	+05.818600
+2308.994000	-00.000000	+08.599800	+05.696600	+08.599800	+05.737300
+2230.049000	-00.000000	+08.399900	+05.574500	+08.399900	+05.574500
+2154.485000	-00.000000	+08.199900	+05.493100	+08.199900	+05.452400
+2086.563000	-00.000000	+08.000000	+05.330400	+08.000000	+05.371000
+2012.305000	-00.000000	+07.799800	+05.208300	+07.799800	+05.208300
+1936.607000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1869.613000	-00.000000	+07.399900	+05.004800	+07.399900	+05.045500
+1801.801000	+00.040600	+07.200000	+04.882800	+07.200000	+04.882800
+1734.928000	-00.000000	+06.999800	+04.720000	+06.999800	+04.720000
+1667.019000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1603.259000	-00.000000	+06.599900	+04.475900	+06.599900	+04.475900
+1543.638000	-00.000000	+06.400000	+04.313100	+06.400000	+04.353800
+1479.916000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1420.637000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1362.932000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
