%26/03/2021 11:18:48
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+883.743000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+929.423000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+991.571000	-00.000000	+07.200000	+04.882800	+07.200000	+04.923500
+1043.513000	-00.000000	+06.999800	+04.801400	+06.999800	+04.760700
+1089.486000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1125.474000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1190.490000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1242.018000	-00.000000	+06.199800	+04.231700	+06.199800	+04.272400
+1292.544000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+1332.499000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1365.300000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1407.550000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1453.169000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1503.256000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1533.580000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+1564.183000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+1600.281000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+1634.388000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
+1671.926000	-00.000000	+03.999900	+02.807600	+03.999900	+02.766900
+1703.116000	-00.000000	+03.799800	+02.644800	+03.799800	+02.604100
+1728.971000	-00.000000	+03.599900	+02.522700	+03.599900	+02.482000
+1753.630000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+1774.505000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+1794.598000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+1809.259000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+1835.615000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+1848.848000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+1865.133000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
