%26/03/2021 12:12:19
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+540.593000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+540.117000	-00.040600	+00.199900	+00.122000	+00.199900	+00.122000
+543.876000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+547.063000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+551.531000	-00.000000	+00.799900	+00.528900	+00.799900	+00.569600
+556.072000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+565.337000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+574.602000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+584.478000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+596.222000	-00.000000	+01.799900	+01.261300	+01.799900	+01.302000
+608.112000	-00.000000	+01.999900	+01.383400	+01.999900	+01.424100
+625.422000	-00.000000	+02.199800	+01.586900	+02.199800	+01.546200
+641.243000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+659.261000	-00.000000	+02.599900	+01.831000	+02.599900	+01.790300
+676.473000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+696.066000	-00.000000	+02.999800	+02.115800	+02.999800	+02.115800
+718.650000	-00.000000	+03.199900	+02.237900	+03.199900	+02.197200
+741.331000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+769.127000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+796.814000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+827.259000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+856.618000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+890.555000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+923.234000	-00.000000	+04.599800	+03.214500	+04.599800	+03.173800
+959.185000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+998.785000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1039.143000	-00.000000	+05.199900	+03.580700	+05.199900	+03.621400
+1076.351000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1123.716000	-00.000000	+05.599900	+03.865500	+05.599900	+03.824800
+1167.699000	-00.000000	+05.799900	+03.987600	+05.799900	+04.028300
+1215.223000	-00.000000	+05.999900	+04.150300	+05.999900	+04.109700
+1266.176000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1315.799000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1372.881000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1424.738000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1479.989000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1536.814000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1595.190000	-00.000000	+07.399900	+05.004800	+07.399900	+05.045500
+1655.129000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1709.561000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1765.862000	-00.000000	+08.000000	+05.371000	+08.000000	+05.330400
+1821.931000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1878.231000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1932.640000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+1995.654000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+2053.371000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+2106.595000	-00.000000	+09.199900	+06.103500	+09.199900	+06.103500
+2148.869000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+2198.407000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+2248.347000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+2289.071000	-00.000000	+09.999900	+06.591700	+09.999900	+06.551100
+2328.269000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+2360.338000	-00.000000	+10.399900	+06.795200	+10.399900	+06.835900
+2400.476000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+2435.157000	-00.000000	+10.799900	+07.039300	+10.799900	+06.998600
+2447.865000	-00.000000	+10.999800	+07.080000	+10.999800	+07.120700
+2478.640000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+2491.385000	-00.000000	+11.399900	+07.324200	+11.399900	+07.324200
+2519.657000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+2541.813000	-00.000000	+11.799800	+07.527600	+11.799800	+07.568300
+2540.019000	-00.000000	+12.000000	+07.649700	+12.000000	+07.690400
+2525.724000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+2500.186000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+2481.155000	-00.000000	+11.399900	+07.324200	+11.399900	+07.364900
