%26/03/2021 12:24:14
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+408.936000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+409.583000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+411.280000	-00.000000	+00.399900	+00.244100	+00.399900	+00.203400
+415.162000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+418.885000	-00.000000	+00.799900	+00.488200	+00.799900	+00.528900
+422.559000	-00.000000	+00.999900	+00.651000	+00.999900	+00.691700
+426.099000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+434.107000	-00.000000	+01.399800	+00.935800	+01.399800	+00.935800
+436.671000	-00.000000	+01.599900	+01.139300	+01.599900	+01.139300
+444.923000	-00.000000	+01.799900	+01.261300	+01.799900	+01.220700
+452.919000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+460.878000	-00.000000	+02.199800	+01.546200	+02.199800	+01.505500
+476.321000	-00.000000	+02.399900	+01.668200	+02.399900	+01.708900
+492.361000	-00.000000	+02.599900	+01.749600	+02.599900	+01.790300
+509.220000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+523.368000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+540.654000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+552.934000	-00.000000	+03.399900	+02.319300	+03.399900	+02.360000
+569.756000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+596.124000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+612.824000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+632.490000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+653.975000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+675.240000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+696.738000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+725.974000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+753.990000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+786.547000	-00.000000	+05.399800	+03.702700	+05.399800	+03.702700
+821.876000	-00.000000	+05.599900	+03.824800	+05.599900	+03.865500
+857.143000	-00.000000	+05.799900	+03.987600	+05.799900	+03.946900
+884.341000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+918.058000	-00.000000	+06.199800	+04.272400	+06.199800	+04.231700
+955.998000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+995.221000	-00.000000	+06.599900	+04.516600	+06.599900	+04.475900
+1029.743000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1064.315000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+1097.421000	-00.000000	+07.200000	+04.842100	+07.200000	+04.882800
+1134.251000	-00.000000	+07.399900	+05.004800	+07.399900	+05.004800
+1163.414000	-00.000000	+07.599900	+05.126900	+07.599900	+05.126900
+1202.307000	-00.000000	+07.799800	+05.167600	+07.799800	+05.249000
+1236.219000	-00.000000	+08.000000	+05.330400	+08.000000	+05.330400
+1276.052000	-00.000000	+08.199900	+05.452400	+08.199900	+05.452400
+1309.024000	-00.000000	+08.399900	+05.574500	+08.399900	+05.574500
+1345.610000	-00.000000	+08.599800	+05.737300	+08.599800	+05.696600
+1379.058000	-00.000000	+08.800000	+05.859300	+08.800000	+05.818600
+1407.843000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+1442.109000	-00.000000	+09.199900	+06.062800	+09.199900	+06.062800
+1466.829000	+00.040600	+09.399800	+06.225500	+09.399800	+06.184800
+1494.662000	-00.000000	+09.600000	+06.347600	+09.600000	+06.306900
+1518.723000	-00.000000	+09.799900	+06.469700	+09.799900	+06.429000
+1540.367000	-00.000000	+09.999900	+06.551100	+09.999900	+06.551100
+1578.515000	-00.000000	+10.199800	+06.673100	+10.199800	+06.673100
+1619.092000	-00.000000	+10.399900	+06.795200	+10.399900	+06.795200
+1636.293000	-00.000000	+10.599900	+06.876600	+10.599900	+06.876600
+1642.958000	-00.000000	+10.799900	+06.958000	+10.799900	+06.998600
+1655.165000	-00.000000	+10.999800	+07.080000	+10.999800	+07.120700
+1660.390000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+1661.061000	+00.040600	+11.399900	+07.324200	+11.399900	+07.283500
+1668.569000	-00.000000	+11.599900	+07.446200	+11.599900	+07.405500
+1669.668000	-00.000000	+11.799800	+07.527600	+11.799800	+07.527600
+1690.567000	-00.000000	+12.000000	+07.649700	+12.000000	+07.649700
+1681.680000	+00.040600	+11.799800	+07.568300	+11.799800	+07.527600
+1574.450000	-00.000000	+11.599900	+07.446200	+11.599900	+07.405500
+1666.335000	-00.000000	+11.399900	+07.324200	+11.399900	+07.324200
+1659.389000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+1656.752000	-00.000000	+10.999800	+07.080000	+10.999800	+07.080000
+1650.380000	-00.000000	+10.799900	+06.998600	+10.799900	+06.958000
+1633.216000	-00.000000	+10.599900	+06.876600	+10.599900	+06.917300
+1624.903000	-00.000000	+10.399900	+06.754500	+10.399900	+06.795200
