%26/03/2021 10:48:01
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+1235.426000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1304.215000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1367.278000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+1429.377000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1490.524000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+1554.015000	-00.000000	+06.799900	+04.679300	+06.799900	+04.638600
+1623.719000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1690.481000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1749.736000	-00.000000	+06.199800	+04.272400	+06.199800	+04.272400
+1801.984000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+1858.223000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1909.531000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1957.714000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+2007.459000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+2051.454000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+2093.106000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+2137.870000	-00.000000	+04.599800	+03.173800	+04.599800	+03.214500
+2175.237000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2210.504000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+2243.989000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+2279.818000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+2311.228000	-00.000000	+03.599900	+02.482000	+03.599900	+02.522700
+2341.697000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2367.296000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+2393.481000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+2416.700000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+2440.358000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+2458.718000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+2477.407000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2496.426000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+2508.780000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+2520.646000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+2536.576000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2542.839000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2554.253000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+2552.837000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2562.249000	-00.000000	+00.599800	+00.366200	+00.599800	+00.366200
+2572.930000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2584.344000	-00.000000	+00.199900	+00.122000	+00.199900	+00.081300
+2572.576000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+2582.134000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+2576.995000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2585.662000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+2595.331000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2592.792000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2589.715000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2584.881000	-00.000000	+01.399800	+00.976500	+01.399800	+00.935800
+2575.201000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+2567.071000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+2554.692000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+2536.332000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+2509.146000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+2479.189000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+2459.218000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+2426.637000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+2419.092000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+2390.405000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+2359.728000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+2332.579000	-00.000000	+03.799800	+02.604100	+03.799800	+02.644800
+2281.979000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
